1, 0, 0, 1
45, 24, -19, 1
44, 24, -18, 1
39, 22, 2, 1
38, 21, 3, 1
19, -20, 19, 1
4, 48, 16, 1
35, 45, -1, 1
33, 51, -8, 1
18, -10, 20, 1
5, 48, 17, 1
23, -52, -36, 1
8, 64, 13, 1
11, -13, 11.5, 1
1, 0, 0, 2
17, -2, 9, 2
28, 81, 9, 2
13, -9, 52, 2
14, -8.5, 53, 2
6, 69, 16, 2
24, -53, -36, 2
7, 70, 16, 2
12, -20, 45, 2
3, 2.5, 9, 2
2, 3, 5, 2
16, 2, 2, 2
40, 39, -3, 2
10, 2.5, 1, 2
1, 0, 0, 3
36, 54, 8.5, 3
32, 50, -7, 3
37, 29, 4, 3
34, 63, -17, 3
29, 84, -99, 3
27, -51, -35, 3
25, 0, 0.01, 3
15, -8, 52, 3
42, 40, -11, 3
43, 28, -2, 3
41, 39.5, -3, 3
31, 40, -12, 3
