1,0,0,51
16,0,7,1
413,4,325,1
173,6,525,1
120,18,638,1
339,9,695,1
477,0,783,1
388,22,783,1
323,23,950,1
461,30,955,1
104,20,974,1
481,14,996,1
293,11,248,2
510,19,296,2
406,37,511,2
433,38,525,2
128,34,637,2
372,23,683,2
147,24,690,2
311,39,692,2
166,42,719,2
218,48,840,2
160,35,950,2
49,38,354,3
134,45,456,3
343,39,477,3
547,44,506,3
403,85,788,3
509,68,802,3
329,65,845,3
507,82,850,3
58,65,893,3
175,88,989,3
111,90,914,3
102,29,248,4
338,61,500,4
48,74,602,4
108,79,657,4
235,91,710,4
368,87,725,4
328,82,752,4
421,106,856,4
281,109,942,4
491,104,954,4
310,127,981,4
35,7,53,5
37,57,330,5
322,48,352,5
145,50,360,5
445,62,373,5
208,86,648,5
213,94,695,5
435,138,788,5
127,144,893,5
425,144,904,5
94,134,903,5
497,44,202,6
516,77,383,6
261,94,529,6
69,128,590,6
277,107,602,6
194,115,635,6
98,142,666,6
144,152,816,6
274,182,881,6
90,186,909,6
287,189,934,6
169,75,328,7
10,126,517,7
460,134,596,7
221,133,601,7
357,174,707,7
253,162,737,7
520,200,797,7
464,203,828,7
157,216,909,7
436,216,988,7
67,247,997,7
158,46,173,8
54,49,182,8
394,64,249,8
415,94,359,8
511,114,406,8
256,145,568,8
109,165,601,8
113,177,633,8
525,228,806,8
259,268,893,8
512,228,854,8
471,119,378,9
513,147,444,9
9,175,540,9
228,184,590,9
384,210,641,9
192,221,710,9
438,220,716,9
200,278,898,9
265,299,951,9
297,320,984,9
271,302,952,9
193,69,200,10
442,107,314,10
236,111,324,10
484,115,329,10
168,195,581,10
426,225,646,10
138,236,704,10
319,260,757,10
272,258,765,10
330,281,842,10
146,325,936,10
312,187,528,11
348,215,559,11
243,221,579,11
139,222,587,11
56,271,745,11
518,284,784,11
282,305,827,11
400,316,855,11
309,340,877,11
149,351,981,11
268,316,904,11
151,159,405,12
450,184,460,12
2,221,542,12
77,252,618,12
155,290,713,12
543,328,800,12
141,333,821,12
197,336,858,12
448,350,855,12
292,372,910,12
133,347,879,12
316,96,223,13
369,177,414,13
162,257,579,13
337,301,696,13
420,337,779,13
422,350,826,13
474,381,873,13
131,380,917,13
41,408,940,13
196,414,959,13
